circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,gmw,128,512,256,4.7091913461088447e-23,0.36,1.28,0,0,2,0
adder_1.txt,gmw,128,512,256,4.7065974917957146e-23,0.36,1.28,0,0,2,0
adder_1.txt,gmw,128,512,256,4.712273328902812e-23,0.36,1.27,0,0,2,0
adder_1.txt,gmw,64,128,64,1.7127927929763489e-12,0.2,1.26,0,0,3,0
adder_1.txt,gmw,64,128,64,1.7426500832152043e-12,0.2,1.24,0,0,3,0
adder_1.txt,gmw,64,128,64,1.7407249723165192e-12,0.21,1.27,0,0,3,0
adder_1.txt,gmw,64,256,128,1.763955925725094e-12,0.22,1.26,0,0,3,0
adder_1.txt,gmw,64,256,128,1.7615227995943973e-12,0.22,1.26,0,0,3,0
adder_1.txt,gmw,64,256,128,1.7299326197862226e-12,0.22,1.25,0,0,3,0
adder_1.txt,gmw,64,512,256,1.7835324932600647e-12,0.27,1.29,0,0,3,0
adder_1.txt,gmw,64,512,256,1.7769031757202318e-12,0.27,1.27,0,0,3,0
adder_1.txt,gmw,64,512,256,1.7864861512270772e-12,0.27,1.25,0,0,3,0
adder_1.txt,gmw,128,128,64,4.540748306483338e-23,0.22,1.27,0,0,3,0
adder_1.txt,gmw,128,128,64,4.493228083323444e-23,0.22,1.28,0,0,3,0
adder_1.txt,gmw,128,128,64,4.48470978255525e-23,0.22,1.27,0,0,3,0
adder_1.txt,gmw,128,256,128,4.659018134233125e-23,0.27,1.27,0,0,3,0
adder_1.txt,gmw,128,256,128,4.6594996619785585e-23,0.26,1.26,0,0,3,0
adder_1.txt,gmw,128,256,128,4.611105639569585e-23,0.27,1.26,0,0,3,0
adder_1.txt,gmw,128,512,256,4.7238073428067975e-23,0.37,1.28,0,0,3,0
adder_1.txt,gmw,128,512,256,4.727712284158802e-23,0.35,1.3,0,0,3,0
adder_1.txt,gmw,128,512,256,4.7078942476160387e-23,0.36,1.27,0,0,3,0
adder_1.txt,gmw,64,128,64,1.026478445850363e-08,0.2,1.25,0,0,0,1
adder_1.txt,gmw,64,128,64,3.0574140981804166e-10,0.21,1.26,0,0,0,1
adder_1.txt,gmw,64,128,64,2.168707780674477e-10,0.19,1.25,0,0,0,1
adder_1.txt,gmw,64,256,128,2.5218264734930602e-12,0.22,1.26,0,0,0,1
adder_1.txt,gmw,64,256,128,3.990716304193744e-12,0.22,1.26,0,0,0,1
adder_1.txt,gmw,64,256,128,3.344124769561767e-12,0.22,1.25,0,0,0,1
adder_1.txt,gmw,64,512,256,1.7840244575047484e-12,0.26,1.25,0,0,0,1
adder_1.txt,gmw,64,512,256,1.7796012684681896e-12,0.26,1.28,0,0,0,1
adder_1.txt,gmw,64,512,256,1.7840244575047484e-12,0.26,1.26,0,0,0,1
adder_1.txt,gmw,128,128,64,4.292220039097367e-18,0.21,1.26,0,0,0,1
adder_1.txt,gmw,128,128,64,1.3834471887579247e-19,0.22,1.25,0,0,0,1
adder_1.txt,gmw,128,128,64,3.3664691121712733e-19,0.21,1.26,0,0,0,1
adder_1.txt,gmw,128,256,128,1.6880651290684903e-22,0.26,1.27,0,0,0,1
adder_1.txt,gmw,128,256,128,5.350875401894869e-23,0.27,1.25,0,0,0,1
adder_1.txt,gmw,128,256,128,1.1399127711971073e-21,0.26,1.27,0,0,0,1
adder_1.txt,gmw,128,512,256,4.7387931052345327e-23,0.35,1.28,0,0,0,1
adder_1.txt,gmw,128,512,256,4.697853346432909e-23,0.35,1.28,0,0,0,1
adder_1.txt,gmw,128,512,256,5.045748168290699e-23,0.35,1.27,0,0,0,1
adder_1.txt,gmw,64,128,64,1.7537575227130199e-12,0.19,1.24,0,0,0,2
adder_1.txt,gmw,64,128,64,1.7258715500864845e-12,0.2,1.25,0,0,0,2
adder_1.txt,gmw,64,128,64,3.5915153190840904e-12,0.2,1.25,0,0,0,2
adder_1.txt,gmw,64,256,128,1.8573072434182983e-12,0.22,1.26,0,0,0,2
adder_1.txt,gmw,64,256,128,1.7776386458609862e-12,0.22,1.3,0,0,0,2
adder_1.txt,gmw,64,256,128,1.7637124740979327e-12,0.23,1.25,0,0,0,2
adder_1.txt,gmw,64,512,256,1.7887043460418123e-12,0.27,1.26,0,0,0,2
adder_1.txt,gmw,64,512,256,1.7832865579268159e-12,0.26,1.26,0,0,0,2
adder_1.txt,gmw,64,512,256,1.7742088454187197e-12,0.27,1.26,0,0,0,2
adder_1.txt,gmw,128,128,64,1.7486600555218653e-22,0.22,1.27,0,0,0,2
adder_1.txt,gmw,128,128,64,8.883687474727705e-23,0.22,1.25,0,0,0,2
adder_1.txt,gmw,128,128,64,6.609013925719446e-23,0.22,1.28,0,0,0,2
adder_1.txt,gmw,128,256,128,4.6741287087473486e-23,0.27,1.27,0,0,0,2
adder_1.txt,gmw,128,256,128,4.665763868083372e-23,0.26,1.29,0,0,0,2
adder_1.txt,gmw,128,256,128,4.6588576355913824e-23,0.28,1.29,0,0,0,2
adder_1.txt,gmw,128,512,256,4.719905495069301e-23,0.36,1.28,0,0,0,2
adder_1.txt,gmw,128,512,256,4.742546664300125e-23,0.35,1.27,0,0,0,2
adder_1.txt,gmw,128,512,256,4.720393056934575e-23,0.37,1.28,0,0,0,2
adder_1.txt,gmw,64,128,64,1.7612796568221242e-12,0.19,1.25,0,0,0,3
adder_1.txt,gmw,64,128,64,1.7489202250014947e-12,0.2,1.25,0,0,0,3
adder_1.txt,gmw,64,128,64,1.7472300719607796e-12,0.22,1.25,0,0,0,3
adder_1.txt,gmw,64,256,128,1.7832865579268159e-12,0.22,1.25,0,0,0,3
adder_1.txt,gmw,64,256,128,1.7734746804231304e-12,0.21,1.25,0,0,0,3
adder_1.txt,gmw,64,256,128,1.7605504136864131e-12,0.22,1.26,0,0,0,3
adder_1.txt,gmw,64,512,256,1.7823031284372577e-12,0.26,1.28,0,0,0,3
adder_1.txt,gmw,64,512,256,1.7815658836550503e-12,0.27,1.26,0,0,0,3
adder_1.txt,gmw,64,512,256,1.787471703086124e-12,0.27,1.26,0,0,0,3
adder_1.txt,gmw,128,128,64,4.556276260787199e-23,0.22,1.28,0,0,0,3
adder_1.txt,gmw,128,128,64,4.589224925752007e-23,0.22,1.26,0,0,0,3
adder_1.txt,gmw,128,128,64,5.510343341680827e-23,0.23,1.25,0,0,0,3
adder_1.txt,gmw,128,256,128,4.674772753458153e-23,0.27,1.28,0,0,0,3
adder_1.txt,gmw,128,256,128,4.6389968496294997e-23,0.27,1.26,0,0,0,3
adder_1.txt,gmw,128,256,128,4.6981769256280725e-23,0.27,1.28,0,0,0,3
adder_1.txt,gmw,128,512,256,4.696397504552662e-23,0.36,1.27,0,0,0,3
adder_1.txt,gmw,128,512,256,4.7252713331549166e-23,0.37,1.27,0,0,0,3
adder_1.txt,gmw,128,512,256,4.7168187247258467e-23,0.36,1.28,0,0,0,3
adder_1.txt,beaver,64,128,64,0.8500579801883834,0.2,1.25,0,0,0,0
adder_1.txt,beaver,64,128,64,0.11462020359241437,0.21,1.25,0,0,0,0
adder_1.txt,beaver,64,128,64,0.371927904446474,0.22,1.27,0,0,0,0
adder_1.txt,beaver,64,256,128,0.7486816012315683,0.25,1.26,0,0,0,0
adder_1.txt,beaver,64,256,128,0.1578227567921342,0.23,1.26,0,0,0,0
adder_1.txt,beaver,64,256,128,0.1952488226795403,0.23,1.26,0,0,0,0
adder_1.txt,beaver,64,512,256,0.7372666064465083,0.31,1.28,0,0,0,0
adder_1.txt,beaver,64,512,256,0.995522668675506,0.3,1.29,0,0,0,0
adder_1.txt,beaver,64,512,256,0.659735364587949,0.3,1.26,0,0,0,0
adder_1.txt,beaver,128,128,64,0.855521305448766,0.24,1.28,0,0,0,0
adder_1.txt,beaver,128,128,64,0.7518001507293762,0.24,1.26,0,0,0,0
adder_1.txt,beaver,128,128,64,0.003885281145074472,0.24,1.26,0,0,0,0
adder_1.txt,beaver,128,256,128,0.03139532004756196,0.3,1.28,0,0,0,0
adder_1.txt,beaver,128,256,128,0.9268006645206265,0.3,1.31,0,0,0,0
adder_1.txt,beaver,128,256,128,0.8453188124972508,0.3,1.27,0,0,0,0
adder_1.txt,beaver,128,512,256,0.14916285925730716,0.44,1.3,0,0,0,0
adder_1.txt,beaver,128,512,256,0.5972675101180646,0.42,1.3,0,0,0,0
adder_1.txt,beaver,128,512,256,0.7853888433523187,0.43,1.29,0,0,0,0
adder_1.txt,beaver,64,128,64,0.6408912448283922,0.21,1.25,1,0,0,0
adder_1.txt,beaver,64,128,64,0.9979717650387238,0.21,1.25,1,0,0,0
adder_1.txt,beaver,64,128,64,0.3632080929687048,0.22,1.25,1,0,0,0
adder_1.txt,beaver,64,256,128,0.4303515924163682,0.24,1.25,1,0,0,0
adder_1.txt,beaver,64,256,128,0.7324307901509934,0.24,1.28,1,0,0,0
adder_1.txt,beaver,64,256,128,0.5519478869069163,0.24,1.25,1,0,0,0
adder_1.txt,beaver,64,512,256,0.9377702926061747,0.31,1.27,1,0,0,0
adder_1.txt,beaver,64,512,256,0.16708166374691363,0.31,1.26,1,0,0,0
adder_1.txt,beaver,64,512,256,0.26797214208408315,0.3,1.26,1,0,0,0
adder_1.txt,beaver,128,128,64,0.9765972088268002,0.25,1.26,1,0,0,0
adder_1.txt,beaver,128,128,64,0.24396405633319046,0.25,1.26,1,0,0,0
adder_1.txt,beaver,128,128,64,0.9830084198739123,0.24,1.28,1,0,0,0
adder_1.txt,beaver,128,256,128,0.1285366520343736,0.31,1.27,1,0,0,0
adder_1.txt,beaver,128,256,128,0.8049387190002766,0.31,1.28,1,0,0,0
adder_1.txt,beaver,128,256,128,0.508262268949102,0.3,1.3,1,0,0,0
adder_1.txt,beaver,128,512,256,0.3659089200025638,0.45,1.34,1,0,0,0
adder_1.txt,beaver,128,512,256,0.842581769363169,0.43,1.29,1,0,0,0
adder_1.txt,beaver,128,512,256,0.5835101095996406,0.45,1.31,1,0,0,0
adder_1.txt,beaver,64,128,64,0.08934986925458016,0.2,1.26,2,0,0,0
adder_1.txt,beaver,64,128,64,0.4398722972107879,0.21,1.25,2,0,0,0
adder_1.txt,beaver,64,128,64,0.8064160834237395,0.21,1.27,2,0,0,0
adder_1.txt,beaver,64,256,128,0.6262829406896564,0.26,1.26,2,0,0,0
adder_1.txt,beaver,64,256,128,0.3771498462135999,0.25,1.27,2,0,0,0
